"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.22,49.978645983578,-24.2390654487415
1.224,50.5805192993026,-22.2926135674295
1.228,51.1925333663766,-20.3431615582385
1.232,51.8148834400093,-18.3906198453054
1.236,52.4477687503113,-16.434900426694
1.24,53.0913925836893,-14.4759169317272
1.244,53.7459623656016,-12.5135846814979
1.248,54.4116897446707,-10.5478207526714
1.252,55.0887906781479,-8.57854404469994
1.256,55.77748551872,-6.60567535057608
1.26,56.4779991026479,-4.62913743125016
1.264,57.1905608392227,-2.64885509385039
1.268,57.915404801521,-0.664755273842999
1.272,58.6527698184396,1.32323287872293
1.276,59.4028995679845,3.3151779087358
1.28,60.1660426717853,5.31114596114998
1.284,60.9424527908025,7.31120068156394
1.288,61.7323887221909,9.31540311207882
1.292,62.5361144972746,11.323811582265
1.296,63.3538994805884,13.3364815950591
1.3,64.1860184699312,15.353465707403
1.304,65.0327517973701,17.3748134054378
1.308,65.8943854311342,19.40057097405
1.312,66.7712110783192,21.4307813605687
1.316,67.6635262883289,23.4654840324015
1.32,68.5716345569588,25.5047148283885
1.324,69.4958454310325,27.5485058036536
1.328,70.4364746134803,29.5968850677175
1.332,71.3938440687467,31.6498766156338
1.336,72.3682821284032,33.7075001519023
1.34,73.3601235968279,35.7697709069043
1.344,74.3697098568074,37.8366994456014
1.348,75.3973889748988,39.9082914682245
1.352,76.4435158063825,41.9845476026835
1.356,77.5084520996156,44.0654631884074
1.36,78.5925665995891,46.1510280513296
1.364,79.696235150471,48.241226269719
1.368,80.8198407969007,50.3360359305499
1.372,81.9637738837894,52.4354288761018
1.376,83.1284321543532,54.5393704404677
1.38,84.3142208460951,56.6478191756469
1.384,85.5215527844245,58.7607265668895
1.388,86.750848473587,60.8780367369547
1.392,88.0025361845498,62.9996861389398
1.396,89.2770520394651,65.1256032373287
1.4,90.5748400923123,67.255708176909
1.404,91.8963524052846,69.3899124391961
1.408,93.2420491204673,71.5281184860044
1.412,94.6123985263163,73.670219389801
1.416,96.0078771184199,75.8160984504706
1.42,97.4289696539926,77.96562879813
1.424,98.8761691995129,80.1186729816166
1.428,100.349977170885,82.2750825422874
1.432,101.850903365458,84.4346975727601
1.436,103.379465985215,86.5973462602361
1.44,104.936191650371,88.7628444140451
1.444,106.521615402612,90.930994977063
1.448,108.136280697132,93.1015875206593
1.452,109.780739382599,95.2743977228416
1.456,111.455551668109,97.4491868292795
1.46,113.161286076164,99.6257010969014
1.464,114.898519380626,101.80367121978
1.468,116.667836528567,103.982811737037
1.472,118.469830544867,106.16282042253
1.476,120.305102418352,108.343377656099
1.48,122.174260968204,110.524145776191
1.484,124.07792268931,112.704768413715
1.488,126.016711575161,114.884869807013
1.492,127.991258916819,117.06405409787
1.496,130.002203076435,119.241904608562
1.5,132.050189233703,121.417983099952
1.504,134.135869103578,123.591829010749
1.508,136.259900623493,125.762958678061
1.512,138.422947608274,127.930864539491
1.516,140.625679370822,130.095014317081
1.52,142.868770306605,132.254850183475
1.524,145.152899439892,134.409787910815
1.528,147.4787499296,136.55921600293
1.532,149.847008532554,138.702494811538
1.536,152.258365021854,140.838955637258
1.54,154.713511558019,142.967899816381
1.544,157.213142010453,145.088597794497
1.548,159.757951226747,147.200288188184
1.552,162.348634247243,149.302176836184
1.556,164.985885462236,151.393435841602
1.56,167.670397709128,153.473202606904
1.564,170.402861306787,155.540578863645
1.568,173.183963024341,157.594629699079
1.572,176.014384981574,159.634382582058
1.576,178.89480347809,161.658826390803
1.58,181.82588774837,163.666910445437
1.584,184.808298639847,165.657543548404
1.588,187.842687211159,167.629593036184
1.592,190.929693247707,169.581883846017
1.596,194.069943691751,171.513197601637
1.6,197.264050984278,173.422271722367
1.604,200.512611315983,175.307798560233
1.608,203.816202784813,177.168424570123
1.612,207.175383457624,179.002749518389
1.616,210.590689333663,180.809325735622
1.62,214.062632207797,182.586657419786
1.624,217.591697431571,184.333199996216
1.628,221.178341570474,186.047359541458
1.632,224.822989956058,187.727492278285
1.636,228.526034131867,189.371904149689
1.64,232.287829192531,190.978850480033
1.644,236.108691015758,192.546535731968
1.648,239.988893387435,194.073113368168
1.652,243.928665020558,195.556685827304
1.656,247.928186469266,196.9953046241
1.66,251.987586939864,198.386970583695
1.664,256.106941001409,199.729634220886
1.668,260.286265199149,201.021196275189
1.672,264.525514574897,202.259508412936
1.676,268.824579099288,203.442374107916
1.68,273.183280021754,204.567549712286
1.684,277.601366145062,205.632745729672
1.688,282.078510032262,206.635628302458
1.692,286.614304155019,207.573820925375
1.696,291.208256993447,208.444906397415
1.7,295.859789098766,209.246429024036
1.704,300.568229131399,209.97589708141
1.708,305.332809888405,210.630785554148
1.712,310.152664335526,211.208539157551
1.716,315.026821660493,211.706575654898
1.72,319.954203365696,212.122289479592
1.724,324.933619419698,212.453055671207
1.728,329.963764488568,212.696234133535
1.732,335.043214269423,212.84917422158
1.736,340.170421949977,212.909219663225
1.74,345.343714819299,212.87371381981
1.744,350.561291056278,212.740005288262
1.748,355.821216723577,212.505453845611
1.752,361.121422996015,212.167436734726
1.756,366.459703653354,211.72335528796
1.76,371.833712868412,211.170641883003
1.764,377.240963322152,210.50676722276
1.768,382.678824678009,209.729247928317
1.772,388.144522448035,208.83565443123
1.776,393.635137283632,207.823619148325
1.78,399.147604723479,206.690844919077
1.784,404.678715430872,205.435113682344
1.788,410.225115951971,204.054295365882
1.792,415.783310025417,202.546356958662
1.796,421.349660472388,200.909371732516
1.8,426.920391694396,199.141528576223
1.804,432.491592804005,197.241141401685
1.808,438.059221411086,195.206658578515
1.812,443.619108084343,193.036672350153
1.816,449.166961504426,190.729928181533
1.82,454.698374321317,188.28533398551
1.824,460.208829724446,185.701969172673
1.828,465.693708729551,182.979093466921
1.832,471.148298181429,180.116155427285
1.836,476.567799466535,177.112800614999
1.84,481.947337923891,173.968879343854
1.844,487.281972937108,170.684453951342
1.848,492.566708684321,167.25980552819
1.852,497.796505516851,163.695440044538
1.856,502.966291931205,159.992093812303
1.86,508.070977092924,156.150738225187
1.864,513.105463864643,152.17258372045
1.868,518.064662284827,148.059082909745
1.872,522.943503437863,143.811932830396
1.876,527.736953650798,139.433076273
1.88,532.440028946898,134.92470214656
1.884,537.047809681703,130.289244848228
1.888,541.555455283107,125.52938261114
1.892,545.958219013624,120.648034810795
1.896,550.251462670228,115.64835821783
1.9,554.430671135165,110.533742192814
1.904,558.491466689894,105.307802826749
1.908,562.429623003998,99.9743760392072
1.912,566.241078711359,94.537509654453
1.916,569.921950487333,89.0014544842142
1.92,573.46854554289,83.3706544540746
1.924,576.877373454932,77.6497358185041
1.928,580.145157255968,71.8434955172947
1.932,583.268843711246,65.9568887334897
1.936,586.24561271709,59.9950157197352
1.94,589.072885760501,53.9631079661617
1.944,591.748333387221,47.8665137884469
1.948,594.269881632877,41.7106834194538
1.952,596.635717380032,35.5011536917734
1.956,598.844292612256,29.2435324015591
1.96,600.89432754512,22.9434824461707
1.964,602.784812622758,16.6067058293653
1.968,604.515009377604,10.2389276280275
1.972,606.084450159652,3.84588001376441
1.976,607.492936750272,-2.56671357890028
1.98,608.74053788396,-8.99315404847741
1.984,609.827585709341,-15.4277819006439
1.988,610.754671228301,-21.8649921186925
1.992,611.522638759071,-28.2992485532213
1.996,612.132579475392,-34.725097759422
2,612.585824079607,-41.13718221628
