"Freq [GHz]","dB(S(1,1)) [] - l='1mm'","dB(S(1,1)) [] - l='2mm'","dB(S(1,1)) [] - l='3mm'","dB(S(1,1)) [] - l='4mm'","dB(S(1,1)) [] - l='5mm'","dB(S(1,1)) [] - l='6mm'","dB(S(1,1)) [] - l='7mm'","dB(S(1,1)) [] - l='8mm'","dB(S(1,1)) [] - l='9mm'","dB(S(1,1)) [] - l='10mm'","dB(S(1,1)) [] - l='11mm'","dB(S(1,1)) [] - l='12mm'","dB(S(1,1)) [] - l='13mm'","dB(S(1,1)) [] - l='14mm'","dB(S(1,1)) [] - l='15mm'","dB(S(1,1)) [] - l='16mm'","dB(S(1,1)) [] - l='17mm'","dB(S(1,1)) [] - l='18mm'","dB(S(1,1)) [] - l='19mm'","dB(S(1,1)) [] - l='20mm'","dB(S(1,1)) [] - l='21mm'","dB(S(1,1)) [] - l='22mm'","dB(S(1,1)) [] - l='22.5mm'","dB(S(1,1)) [] - l='23mm'","dB(S(1,1)) [] - l='23.5mm'","dB(S(1,1)) [] - l='24mm'","dB(S(1,1)) [] - l='25mm'"
1.14,-2.76403811534506,-2.9967170521102,-3.30006471555149,-3.60306748611622,-3.95915795321315,-4.49141284214779,-5.06954660767114,-5.72899018645022,-6.6047107861608,-7.3502021933099,-9.36891244618279,-10.7284068081678,-13.6602927771646,-18.042800893799,-20.759505801901,-17.4080792607555,-13.3685154509781,-10.2433550679937,-7.94078644105479,-6.49892207078502,-5.21619993374544,-4.16928951722117,-3.72178745550582,-3.38662529155486,-3.02558523189625,-2.73796301559206,-2.27097560590151
1.144,-2.70047854772981,-2.92447664955404,-3.21593896973608,-3.50660191288099,-3.84767327774481,-4.35636009892687,-4.90637664714015,-5.53390323761387,-6.36315915726,-7.06788172607441,-8.96038079047847,-10.2287733961614,-12.9378445461531,-17.0477714445583,-20.5864935361569,-18.5046425375391,-14.2237509053594,-10.8355559419361,-8.36345825362228,-6.82483439523129,-5.46335088958181,-4.35586893776127,-3.8842737435639,-3.53102590809258,-3.15096544549965,-2.84864987683112,-2.35843620591442
1.148,-2.63949921522074,-2.85526261104619,-3.13547273362398,-3.41447635413924,-3.74138626624239,-4.22791061045141,-4.75160712031734,-5.34931781181554,-6.13541642059404,-6.80244313641564,-8.57944965093952,-9.76532172495169,-12.2729101981866,-16.0857684236038,-19.9725693436331,-19.5514765778224,-15.1503354222736,-11.4736653229231,-8.81460250295249,-7.17074668519309,-5.72454258880487,-4.55238077154488,-4.05519731437355,-3.68275205964033,-3.28253496552682,-2.96467512427334,-2.44992588108879
1.152,-2.58096624074606,-2.78891305549122,-3.05846299058234,-3.32644201873513,-3.63998824798556,-4.10565282042819,-4.60468546236013,-5.17450795574203,-5.92045990201447,-6.55256600335075,-8.22364093017237,-9.33456877218402,-11.6603684298361,-15.1821154633707,-19.0860850840152,-20.4148336796681,-16.1497864642047,-12.1627427942369,-9.29688552728524,-7.5382527325527,-6.00074396237014,-4.75944007187185,-4.23506166170112,-3.84222806650164,-3.4206411611938,-3.08633116603113,-2.54565584988276
1.156,-2.5247541428142,-2.72527655051122,-2.98472029881564,-3.24226730540748,-3.54319268330236,-3.98920628182488,-4.46510349225093,-5.00880960783955,-5.71736150267798,-6.31706010647977,-7.89075377598786,-8.93343044256346,-11.0951770682428,-14.3448004797123,-18.0867917915577,-20.9152784470284,-17.2155242392886,-12.9084058492783,-9.81334259294366,-7.92913332865637,-6.2930152056368,-4.97770922826957,-4.42440613547606,-4.0099067723528,-3.56565344858485,-3.21392823297789,-2.64584945147248
1.16,-2.47074522634048,-2.6642113313835,-2.91406773768857,-3.16173641921119,-3.45073330430799,-3.87821887380579,-4.33239314721217,-4.85161421556614,-5.52527704868329,-6.09484981077095,-7.57882991349559,-8.55917934969754,-10.5726530021868,-13.5734960965546,-17.077218333707,-20.9148403814262,-18.3232739102409,-13.7166538929504,-10.3674388435351,-8.34538771135215,-6.60252068688382,-5.20790323216984,-4.62380946886234,-4.18627207641751,-3.7179650375119,-3.34779567322736,-2.75074292000061
1.164,-2.41882902346741,-2.60558458624263,-2.84633994739735,-3.08464811588221,-3.36236243669923,-3.77236431069875,-4.2061227020836,-4.70236313337474,-5.34343704621383,-5.88496059818816,-7.28612272482407,-8.20940190466015,-10.0885674894532,-12.8642769408856,-16.1094261395617,-20.425740797919,-19.4141168980769,-14.5933591550922,-10.9631343159981,-8.7892710875193,-6.93054428960219,-5.45079579927038,-4.83389382623585,-4.3718418048899,-3.8779948835476,-3.48828338087101,-2.86058622233513
1.168,-2.3689017797918,-2.54927180122373,-2.78138225260788,-3.0108145606155,-3.27784948226427,-3.67133990739802,-4.08589340974347,-4.56054269218598,-5.1711386382478,-5.686507438997,-7.01107019552968,-7.88195829654489,-9.63915491810894,-12.2119343846152,-15.2048272549795,-19.5993961198969,-20.3726418060472,-15.5430406524305,-11.6049450482567,-9.26333913233026,-7.27850769690181,-5.70722651915759,-5.0553294714466,-4.56717098329312,-4.04618987994352,-3.63576337994607,-2.97564396741953
1.172,-2.32086598188066,-2.49515615990046,-2.71904986174684,-2.94006028935457,-3.19697954437951,-3.57486457054145,-3.97133650807061,-4.42567984764163,-5.00773858825202,-5.49868473269229,-6.75227149171507,-7.57494671654993,-9.22108358582615,-11.6110600083632,-14.3690784443647,-18.611945105044,-21.0233544327226,-16.5661325305256,-12.2979815664526,-9.77050012951943,-7.64799222562479,-5.97810923912018,-5.28884017656106,-4.77285558408303,-4.2230273310294,-3.79063158864824,-3.09619639673689
1.176,-2.27462992237272,-2.44312799196756,-2.65920713456226,-2.87222126210064,-3.11955218100095,-3.48267698898356,-3.8621105468896,-4.29733832847382,-4.85264714242093,-5.32075758565371,-6.50846678994336,-7.28667209047953,-8.8314122746487,-11.056521037681,-13.6005379438032,-17.5879834702706,-21.1944253864777,-17.6532117079478,-13.0479235025939,-10.3140746954712,-8.04076492462369,-6.26444193318128,-5.5352095166012,-4.98953683911435,-4.40901775699824,-3.9533097936629,-3.22254046713529
1.18,-2.2301072993316,-2.39308426664309,-2.601726911384,-2.80714399897016,-3.04538027157721,-3.39453400063833,-3.7578989950407,-4.17511521818866,-4.70532264472453,-5.15205422698706,-6.27851994708401,-7.01561908481398,-8.46754397864512,-10.5436421279266,-12.8945580360679,-16.5946276978913,-20.841134391278,-18.7736254965406,-13.8608418277739,-10.8978612854149,-8.45880975335298,-6.56731836059719,-5.79528822658853,-5.21790622517072,-4.60470809002037,-4.12424787033881,-3.35499103932911
1.184,-2.18721684684432,-2.34492812672977,-2.54648989822622,-2.74468479078976,-2.97428898596288,-3.31020911578743,-3.65840809336735,-4.05863791325245,-4.56526679844043,-4.99195939443238,-6.06140361335494,-6.76042894944717,-8.12718192410982,-10.0682489609815,-12.2455404627331,-15.6612668768112,-20.0860625461666,-19.8561639147727,-14.7426810122466,-11.5262018065237,-8.90436472398045,-6.88794188171596,-6.07000283459125,-5.45871125332931,-4.81068533376669,-4.30392629147391,-3.49388218786437
1.188,-2.14588199415122,-2.2985684596862,-2.49338410250036,-2.68470897694175,-2.9061148448355,-3.22949117952606,-3.56336492418638,-3.94756140936914,-4.43202048428252,-4.83990854850387,-5.85618642983522,-6.51987970577699,-7.80828993277954,-9.6266498840498,-11.6478722624656,-14.7972287902712,-19.1162787999418,-20.7673257906474,-15.6980067071065,-12.2040333705176,-9.37996585957803,-7.22764187399851,-6.36036582972944,-5.71276222034146,-5.02758077310931,-4.49285897597309,-3.6395686513002
1.192,-2.1060305508541,-2.25391950242312,-2.44230431465677,-2.62709028397906,-2.84070486235168,-3.15218315822027,-3.47251567184203,-3.84156587449881,-4.30516005907836,-4.69538279539169,-5.66202199666986,-6.29286920423377,-7.50905767527421,-9.21559264471807,-11.0963189793559,-14.002344194123,-18.0795221730957,-21.3190013819039,-16.7272061506519,-12.9368947180096,-9.88849856197446,-7.5878932767601,-6.66748767853371,-5.98094011346721,-5.25607483855385,-4.69159653887966,-3.79242744490818
1.196,-2.06759441598254,-2.21090047686435,-2.39315163155923,-2.57171021923437,-2.77791576284637,-3.07810103673636,-3.38562405236497,-3.74035447320654,-4.18429407055974,-4.5579044180087,-5.47813934273475,-6.0784006204944,-7.22787066345272,-8.83221390846028,-10.5861607357409,-13.2724073889274,-17.0601837076913,-21.3555179050598,-17.8205555788059,-13.7308190309478,-10.4332562287674,-7.97033988649628,-6.99259106784137,-6.26420590044999,-5.49690275150468,-4.90073001664469,-3.95285966244406
1.2,-2.03050930890685,-2.16943525360013,-2.34583301782503,-2.5184575142671,-2.71761326430802,-3.00707281482352,-3.30246989316319,-3.64365141193314,-4.0690603335611,-4.42703293037166,-5.30383466836719,-5.87557001434456,-6.96328453768314,-8.47398966518559,-10.1132102633531,-12.6018104566909,-16.0970181318021,-20.8770502907492,-18.9465122649304,-14.5919673404115,-11.0180041663934,-8.37682211616224,-7.33702782808837,-6.56361148478785,-5.75086110255642,-5.12089515643322,-4.12129249864467
1.204,-1.99471452027356,-2.1294520412185,-2.30026090174366,-2.46722761353614,-2.65967142217261,-2.9389375924269,-3.22284784614501,-3.55120017900077,-3.95912332106954,-4.30236158371515,-5.13846416868101,-5.68355562962875,-6.71400311326555,-8.13868991411715,-9.6737801263654,-11.9847518929909,-15.2036441055876,-20.0393655967158,-20.031848857499,-15.5256939991197,-11.6470429034203,-8.80940999980824,-7.70229907638872,-6.8803126643166,-6.01881554656372,-5.35277737631588,-4.29818153021502
1.208,-1.96015268130665,-2.09088309912972,-2.2563528027238,-2.41792220416548,-2.60397202768635,-2.87354473491441,-3.1465662197869,-3.46276195673366,-3.8541718304006,-4.18351426376063,-4.9814377758167,-5.50160866361526,-6.47885965403109,-7.82433872837328,-9.26463127027447,-11.4157540565481,-14.3815787179845,-19.030289317848,-20.9396605828516,-16.5344002369075,-12.3252566220019,-9.27044222226151,-8.09007920970677,-7.2155844991424,-6.30170983629431,-5.59711752500995,-4.48401330040624
1.212,-1.92676954996936,-2.05366447190463,-2.21403098751834,-2.3704487830939,-2.55040405570752,-2.81075311024455,-3.07344591746702,-3.37811418610031,-3.75391689050596,-4.07014272776279,-4.83221368456224,-5.32904527783487,-6.2568008865756,-7.5291797301164,-8.88291787446347,-10.8898533262865,-13.6270984365444,-17.9829197200724,-21.4787548834694,-17.6128816145181,-13.0581148162615,-9.76257178691996,-8.50224446308433,-7.5708395728434,-6.60057646209959,-5.85471859618116,-4.67930826109046
1.216,-1.89451381261661,-2.01773574333231,-2.17322215274366,-2.32472025827437,-2.49886315736188,-2.75043039101047,-3.00331947093797,-3.29704926685219,-3.65808988123779,-3.96192413763784,-4.69029354765484,-5.16523965983782,-6.04687332855758,-7.2516465447212,-8.52613510704812,-10.4026396030743,-12.9345627689053,-16.9681166642444,-21.4950268378025,-18.7388336961708,-13.8515584084044,-10.2888184107035,-8.94090680024509,-7.94764971585848,-6.91654921921555,-6.12645358407138,-4.88462413681812
1.22,-1.86333689989102,-1.98303980856729,-2.13385713144771,-2.28065458092117,-2.44925119344536,-2.69245241508462,-2.93603015914912,-3.21937337832514,-3.56644083945452,-3.85855885190273,-4.55521824532211,-5.00961797679954,-5.84821156584171,-6.99033763955466,-8.19207232045693,-9.95023014302224,-12.2979418315533,-16.0162593272231,-20.9956714987594,-19.855548476752,-14.7116242594365,-10.8526264663067,-9.40845386930482,-8.34777184423179,-7.25087808756524,-6.41327470533613,-5.10055978805937
1.224,-1.83319281572548,-1.94952266288558,-2.0958706216941,-2.23817440609839,-2.40147580489051,-2.63670259927874,-2.87143120378327,-3.14490540794039,-3.47873693028176,-3.75976844453765,-4.42656414880171,-4.86165308818583,-5.66002817007417,-6.74399493291441,-7.8787723026476,-9.52921821236333,-11.7114753233269,-15.1365522018706,-20.1424347046309,-20.8482368627857,-15.6435005144855,-11.45792449586,-9.90759552342557,-8.77317863217622,-7.60494688067133,-6.71622425740047,-5.32775966611886
1.228,-1.80403797841531,-1.91713320570224,-2.05920093531976,-2.19720677920605,-2.35545001698711,-2.58307140103744,-2.8093850338718,-3.07347597604597,-3.39476106474575,-3.66529392340429,-4.30393981019331,-4.72085990650721,-5.48160499829574,-6.51148560205655,-7.58449633323987,-9.1366154487754,-11.1699221563089,-14.3283775438838,-19.1241655849162,-21.5364329826822,-16.6493742833752,-12.1091764061102,-10.4414167510818,-9.22609474453109,-7.98029419743105,-7.03644743710989,-5.56691897058991
1.232,-1.77583107281299,-1.88582305862363,-2.02378976519436,-2.15768284615463,-2.31109187437821,-2.53145582371346,-2.74976261272088,-3.00492654711797,-3.31431064746264,-3.5748941246579,-4.18698302148002,-4.58679131325981,-5.31228565901951,-6.29178658639306,-7.30769444828359,-8.7697963233638,-10.6686222612841,-13.5870564525447,-18.0722525973844,-21.7359660638022,-17.7237968617872,-12.8114021566739,-11.0134353335524,-9.70903922593017,-8.37863828488396,-7.37520750506797,-5.81878964227959
1.236,-1.7485329127801,-1.85554639641623,-1.98958196946315,-2.11953758522836,-2.26832410414741,-2.48175896143918,-2.69244282113674,-2.93910861852887,-3.23719644016671,-3.48834426280382,-4.07535819427613,-4.45903455209471,-5.151468965251,-6.08397135360983,-7.04698022206274,-8.4264480341717,-10.2034763179831,-12.9065751589594,-17.0556570670551,-21.3914157469109,-18.844286999399,-13.5701203003053,-11.6276592420221,-10.2248742183059,-8.80190647340433,-7.73390374947486,-6.08418735097096
1.24,-1.72210631310513,-1.82625978987166,-1.95652537139207,-2.08270955882466,-2.22707380457405,-2.43388958001934,-2.6373118915983,-2.87588297911772,-3.16324152865456,-3.40543461876865,-3.968754019123,-4.33720803362167,-4.99860322497929,-5.88719856389978,-6.80110939380812,-8.10452676434067,-9.7708934308969,-12.280808764356,-16.1034585012995,-20.6269885348717,-19.9543317222287,-14.391112034633,-12.2886318614086,-10.7768591395262,-9.25226983974574,-8.1140927741224,-6.36399966892051
1.244,-1.69651597016281,-1.79792205963676,-1.92457057355848,-2.0471406834255,-2.1872721573667,-2.38776173063372,-2.58426288860305,-2.81511903068745,-3.09228038225906,-3.3259693506657,-3.86688136921985,-4.22095849649326,-4.8531812445721,-5.70070232727002,-6.56896173394811,-7.80222015228201,-9.36772996397188,-11.7040294375388,-15.2241052689839,-19.638991342547,-20.9403573441933,-15.2797973756372,-13.0014388029124,-11.368707167635,-9.73218361093208,-8.51751369796832,-6.65919565831783
