"Freq [GHz]","dB(S(1,1)) [] - l='1mm'","dB(S(1,1)) [] - l='2mm'","dB(S(1,1)) [] - l='3mm'","dB(S(1,1)) [] - l='4mm'","dB(S(1,1)) [] - l='5mm'","dB(S(1,1)) [] - l='6mm'","dB(S(1,1)) [] - l='7mm'","dB(S(1,1)) [] - l='8mm'","dB(S(1,1)) [] - l='9mm'","dB(S(1,1)) [] - l='10mm'","dB(S(1,1)) [] - l='11mm'","dB(S(1,1)) [] - l='12mm'","dB(S(1,1)) [] - l='13mm'","dB(S(1,1)) [] - l='14mm'","dB(S(1,1)) [] - l='15mm'","dB(S(1,1)) [] - l='16mm'","dB(S(1,1)) [] - l='17mm'","dB(S(1,1)) [] - l='18mm'","dB(S(1,1)) [] - l='19mm'","dB(S(1,1)) [] - l='20mm'","dB(S(1,1)) [] - l='21mm'","dB(S(1,1)) [] - l='22mm'","dB(S(1,1)) [] - l='22.5mm'","dB(S(1,1)) [] - l='23mm'","dB(S(1,1)) [] - l='23.5mm'","dB(S(1,1)) [] - l='24mm'","dB(S(1,1)) [] - l='25mm'"
0.2,-0.0138722402675039,-0.013272995366377,-0.0126145070069041,-0.0120812219156473,-0.0115729374931088,-0.0109659126827878,-0.0102924613344999,-0.00992856531729566,-0.00940622682462731,-0.0091483572865149,-0.00836149252111589,-0.00814352138805706,-0.00757988009443852,-0.00712221156024103,-0.00676571559919664,-0.00642478760944602,-0.00606698261531533,-0.00571687823525699,-0.00533942296499394,-0.00509497108893829,-0.00479499889507885,-0.00451025116863886,-0.00433045012829771,-0.00420941758135,-0.00406656731430881,-0.00393392130848372,-0.00370102939234422
0.204,-0.0144810316192853,-0.0138543364147851,-0.013164881517994,-0.0126071324057973,-0.0120741406555473,-0.0114381694781606,-0.0107318603705396,-0.0103500453578255,-0.00980131561460912,-0.0095314372512861,-0.00869886651071605,-0.00846720357000015,-0.00785910402584416,-0.00745106314194911,-0.00706879488998219,-0.00669919779435632,-0.00630573426783255,-0.00591023296197576,-0.00547918198306733,-0.00520947195260685,-0.00488763926056388,-0.00459550595465927,-0.00441165277839872,-0.00429405091769206,-0.00415297353373575,-0.00402283373795567,-0.00379626522466966
0.208,-0.0151076808998517,-0.014452627311007,-0.0137312046434274,-0.0131481966249955,-0.0125897246302455,-0.0119239004037618,-0.0111837501876516,-0.010783459209266,-0.010207562712843,-0.00992530121547854,-0.0090457970907264,-0.00880007475762485,-0.00814648964943438,-0.00778865841644693,-0.00737999264571077,-0.00698109034690518,-0.00655128747279142,-0.00610980617685614,-0.00562505196390684,-0.00533024563825053,-0.00498661174554137,-0.00468657163119456,-0.00449822284092107,-0.00438353374906351,-0.00424382366826997,-0.00411581894215264,-0.00389510193295291
0.212,-0.0157525844051922,-0.0150682383612663,-0.0143138190882532,-0.0137047353061368,-0.013119990064594,-0.0124233825985948,-0.0116483846704483,-0.0112290464968827,-0.0106251900651302,-0.0103301615726867,-0.00940247402354187,-0.00914231778520427,-0.00844220850788567,-0.00813514382570082,-0.00769944703053548,-0.00727059773033928,-0.00680377383070042,-0.00631574151888472,-0.00577720649266327,-0.00545747660763479,-0.00509210135875385,-0.00478362104904392,-0.00459032486712603,-0.00447801680137677,-0.00433925475219371,-0.00421299938763266,-0.00399763704656913
0.216,-0.016416152069482,-0.0157015525012843,-0.0149130791234782,-0.0142770799125726,-0.0136652475728287,-0.0129369022855205,-0.0121260259345344,-0.0116870545412932,-0.0110544266651295,-0.0107462374134577,-0.00976909293397535,-0.00949412107975521,-0.00874643723712935,-0.00849067024842315,-0.00802730032352595,-0.00756785623754519,-0.00706332852256803,-0.00652818586399839,-0.00593582105880789,-0.00559134975014253,-0.00520429210054639,-0.00488682626069826,-0.00468812307356349,-0.00457765133218245,-0.00443940483427825,-0.00431449895313404,-0.00410396977517562
0.22,-0.0170988078974046,-0.0163529656901566,-0.0155293509399899,-0.0148655729611698,-0.0142258180310645,-0.0134647550344515,-0.0126169445600543,-0.0121577385728137,-0.0114955087464459,-0.0111737547052046,-0.010145855460717,-0.00985567880271005,-0.00905935768846119,-0.00885539310943965,-0.00836369901675404,-0.00787300607732849,-0.0073300903820044,-0.00674728937051736,-0.00610107305601615,-0.00573205037862365,-0.0053233669793244,-0.00499635852160117,-0.0047917813274909,-0.00468258910572366,-0.00454441295427413,-0.00442044291401646,-0.00421420101046791
0.224,-0.0178009904146917,-0.0170228873206759,-0.0161630130169807,-0.0154705683584887,-0.0148020328841639,-0.0140072460359535,-0.0131214198344361,-0.0126413619541584,-0.0119486799820569,-0.0116129464789895,-0.0105329694134369,-0.0102271909968909,-0.00938115705518457,-0.00922947249298032,-0.00870879391689065,-0.00818619146379589,-0.00760420197012341,-0.00697320552729194,-0.00627314178743319,-0.00587976423391522,-0.00544950803912117,-0.00511238830136117,-0.00490146314069568,-0.0047929823738357,-0.0046544191234793,-0.00453095792924557,-0.00432843332912209
0.228,-0.0185231531376616,-0.0177117406466645,-0.0168144565055542,-0.0160924317506485,-0.0153942344649768,-0.0145646903857181,-0.0136397400045793,-0.0131381964117446,-0.0124141916914021,-0.0120640530233974,-0.0109306489357946,-0.0106088637388886,-0.00971202800391382,-0.00961307326005757,-0.00906274025042925,-0.00850756070897824,-0.00788580965319995,-0.00720609120461112,-0.00645220847636966,-0.00603467749780689,-0.00558289639780484,-0.0052350853044959,-0.00501733167159603,-0.00490898386261154,-0.0047695643093733,-0.00464617203099697,-0.00444677099705049
0.232,-0.0192657650625374,-0.0184199632282185,-0.0174840856280952,-0.0167315408874129,-0.0160027763263832,-0.0151374133803441,-0.0141722025389759,-0.0136485222759391,-0.0128923030553902,-0.0125273220857323,-0.0113391146745089,-0.0110009092971289,-0.0100521688107251,-0.0100063651700632,-0.00942569777268665,-0.00883726631869461,-0.00817506368328618,-0.00744610670797823,-0.00663845628245907,-0.00619697681436806,-0.00572371229548101,-0.00536461850047072,-0.00513954973538424,-0.00503074676486933,-0.00488999042435106,-0.00476621461696836,-0.00456931997492341
0.236,-0.0200293111754503,-0.0191480073954873,-0.0181723180941046,-0.0173882860011264,-0.0166280235867666,-0.015725750824814,-0.0147191144000974,-0.014172628730659,-0.0133832813396338,-0.0130030090809165,-0.0117585939547422,-0.0114035462957669,-0.0104017835023199,-0.010409523006739,-0.00979783088066349,-0.00917546509189411,-0.00847211828183266,-0.00769341583483765,-0.00683207032335158,-0.0063668493194918,-0.00587213515275919,-0.00550115616258738,-0.00526827982201525,-0.00515842473833499,-0.00501584031863996,-0.00489121644539858,-0.00469618792509957
0.24,-0.0208142929839918,-0.0198963407318213,-0.018879585533171,-0.018063070201059,-0.0172703532893559,-0.0163300493522346,-0.0152807923274341,-0.0147108140726191,-0.0138874021262153,-0.0134913773082196,-0.0121893209620459,-0.0118169998846489,-0.0107610820023913,-0.0108227267086501,-0.0101793087299214,-0.00952231822351873,-0.00877713172642134,-0.00794818593440668,-0.0070332377020083,-0.00654448267844327,-0.0060283436382825,-0.0056448659154916,-0.00540368412183294,-0.00529217190949803,-0.00514725777734031,-0.00502130963290557,-0.00482748421995167
0.244,-0.0216212290713287,-0.0206654465771829,-0.0196063339458305,-0.0187563098838824,-0.0179301547760899,-0.0169506667562553,-0.0158575631316723,-0.0152633859806117,-0.0144049495543339,-0.0139926981763215,-0.0126315369310611,-0.0122415019155843,-0.0111302802833475,-0.0112461615043627,-0.0105703053556509,-0.00987799141103079,-0.00909026644073475,-0.00821058797067937,-0.00724214753962138,-0.00673006513133151,-0.00619251574525868,-0.00579591479086048,-0.00554592455859752,-0.00543214288314932,-0.00528438752173572,-0.00515662765515765,-0.00496331995166148
0.248,-0.0224506556738236,-0.0214558245526642,-0.0203530241730613,-0.0194684351609044,-0.0186078300765823,-0.017587972336732,-0.0164497640004153,-0.0158306617952836,-0.0149362165701707,-0.0145072514368003,-0.0130854903412817,-0.0126772911251027,-0.0115096005236649,-0.0116800180524298,-0.0109709997979984,-0.0102426549647145,-0.0094116890879027,-0.00848079658870194,-0.0074589910142032,-0.00692378554629102,-0.00636482887646778,-0.00595446929099719,-0.00569516282973485,-0.00557849275745999,-0.00542737521474801,-0.0052973053504669,-0.00510380794357223
0.252,-0.023303127283224,-0.02226799110704,-0.0211201323852635,-0.0201998903028048,-0.0193037943128187,-0.0182423472591775,-0.0170577428159056,-0.0164129688097345,-0.0154815051863364,-0.0150353254265934,-0.0135514371201247,-0.0131246133240199,-0.0118992712709547,-0.0121244925864275,-0.0113815762318872,-0.0106164839219097,-0.00974157066723274,-0.00875899018429793,-0.00768396140486235,-0.0071258334801757,-0.00654545993737681,-0.00612069545994862,-0.00585156045348079,-0.0057313771445542,-0.0055763674705821,-0.00544347892631447,-0.00524906276306165
0.256,-0.0241792172745835,-0.0231024800863604,-0.0219081505915181,-0.020951134202613,-0.0200184761202712,-0.0189141849285457,-0.0176818584853011,-0.0170106445714604,-0.0160411267512711,-0.015577217319619,-0.0140296408535736,-0.0135837215939801,-0.0122995276111145,-0.0125797870651584,-0.0118022241014049,-0.0109996581653115,-0.0100800866146062,-0.00904535097728058,-0.00791725414185761,-0.0073363992466966,-0.00673458543694153,-0.00629475896186122,-0.00601527882284865,-0.00589095219658588,-0.0057315118687135,-0.00559528596887551,-0.00539920073607299
0.26,-0.0250795185609868,-0.0239598433275731,-0.0227175871700596,-0.0217226408577296,-0.0207523180860954,-0.0196038913779856,-0.0183224812839391,-0.0176240371960244,-0.0166154022289773,-0.0161332333879771,-0.0145203730046919,-0.0140548764913233,-0.0127106113436145,-0.0130461093282627,-0.012233138259005,-0.0113923625454354,-0.010427416906535,-0.00934006508831936,-0.00815906686239297,-0.00755567399172754,-0.00693238159572615,-0.00647682516618998,-0.00618647926602965,-0.0060573746371189,-0.00589295697193112,-0.00575286545560474,-0.00555433996331561
0.264,-0.0260046442764123,-0.024840651277317,-0.0235489674208882,-0.0225148998718008,-0.0215057772051913,-0.0203118856731487,-0.0189799932121678,-0.0182535056929746,-0.0172046624895547,-0.0167036892731423,-0.0150239131403282,-0.0145383462584742,-0.0131327711633133,-0.0135236732573927,-0.0126745191096451,-0.0117947870074604,-0.0107837461680652,-0.0096433226195788,-0.00840959947221842,-0.00778384977567289,-0.00713902446092645,-0.00666705923950537,-0.00636532311311809,-0.0062308017978414,-0.00606085234873976,-0.0059163577708627,-0.00571460033818664
0.268,-0.0269552284879014,-0.0257454936369539,-0.0244028341414783,-0.0233284169773312,-0.0222793253548452,-0.021038600332767,-0.0196547883663429,-0.0188994203045181,-0.0178092486109126,-0.0172889102674809,-0.0155405491663203,-0.0150344070432205,-0.0135662628489161,-0.014012698943188,-0.0131265727600339,-0.0122071267225772,-0.0111492637846654,-0.0099553177392325,-0.00866905421306747,-0.00802111966270218,-0.0073546900280106,-0.00686562624355892,-0.00655197176889791,-0.00641139166046029,-0.00623534859988443,-0.00608590472469321,-0.00588010356646218
0.272,-0.0279319269385365,-0.0266749800350921,-0.0252797482266744,-0.0241637145799641,-0.0230734497887922,-0.0217844817661333,-0.020347273324486,-0.0195621628574326,-0.0184295121921169,-0.0178892316065215,-0.016070577571495,-0.0155433431261048,-0.0140113494584173,-0.0145134128582241,-0.0135895111731983,-0.0126295822239644,-0.0115241640182413,-0.0102762487700134,-0.00893763573594756,-0.0082676778167347,-0.00757955436854818,-0.00707269123931297,-0.00674658679148716,-0.00659930290376819,-0.00641659738912343,-0.00626164957475138,-0.00605097318784434
0.276,-0.0289354178225177,-0.02762974072883,-0.0261802892938125,-0.0250213323253133,-0.0238886536515646,-0.0225499907282579,-0.0210578675473402,-0.0202421271288038,-0.0190658156788993,-0.0185049987724761,-0.0166143036808651,-0.0160654471563332,-0.0144683015317565,-0.0150260480362034,-0.0140635523285794,-0.0130623595476418,-0.0119086461273858,-0.0106063182819011,-0.00921555118030326,-0.00852371960397168,-0.00781379376396936,-0.00728841939666729,-0.00694932997660643,-0.00679469495573226,-0.0066047514781603,-0.00644373705142923,-0.00622733459937423
0.28,-0.0299664025939222,-0.0286104273350574,-0.0271050563342162,-0.0259018276894955,-0.0247254565139425,-0.0233356027934117,-0.0217870037953705,-0.0209397192261701,-0.019718532701758,-0.0191365678093454,-0.0171720419183555,-0.0166010203964198,-0.0149373973009583,-0.0155508442575843,-0.0145489203877773,-0.013505670378302,-0.0123029144920953,-0.0109457331891204,-0.00950301025912105,-0.00878944170183951,-0.00805758484492257,-0.00751297610960485,-0.00716036344732792,-0.00699772805056066,-0.00679996476580677,-0.00663231338620458,-0.00640931508077783
0.284,-0.031025606810754,-0.0296177135931974,-0.0280546683923033,-0.0268057765942632,-0.0255843949305594,-0.0241418088479414,-0.0225351285624456,-0.0216553579826115,-0.0203880484272037,-0.0197843056502099,-0.0177441160794247,-0.0171503729760405,-0.0154189229080511,-0.0160880482419175,-0.0150458458662845,-0.0139597322003265,-0.0127071787430272,-0.0112947048515571,-0.00980022534995183,-0.00906504221424826,-0.00831110473593854,-0.00774652711651885,-0.00737984974900983,-0.00720856329066779,-0.00700239233125713,-0.00682752634325653,-0.00659704382182754
0.288,-0.032113781015865,-0.0306522961608768,-0.0290297652735258,-0.0277337740479795,-0.0264660230204984,-0.0249691156030616,-0.0233027025269201,-0.022389475367519,-0.0210747599227132,-0.0204485904570977,-0.0183308596140023,-0.0177138241553447,-0.0159131726310864,-0.0166379138471133,-0.0155545658113038,-0.0144247684542173,-0.0131216538955088,-0.0116534491807635,-0.0101074115919061,-0.0093507207929572,-0.00857453120516206,-0.00798923862544173,-0.00760795194936772,-0.00742736271346553,-0.0072121904815755,-0.00702952525439659,-0.00679065195171507
0.292,-0.0332317016565936,-0.0317148954440415,-0.0300310082825323,-0.0286864348135238,-0.027370913072075,-0.0258180461286524,-0.0240902010208294,-0.0231425169136043,-0.0217790765359102,-0.0211298119740181,-0.0189326159201689,-0.0182917025981615,-0.016420449118544,-0.0172007022759117,-0.0160753239859437,-0.0149010086985588,-0.0135465604884949,-0.0120221867506888,-0.0104247869886916,-0.00964667876499381,-0.00884804281889086,-0.0082412774440238,-0.00784483374338511,-0.00765428936286439,-0.00742951680326877,-0.00723846105731073,-0.00699027257053785
0.296,-0.0343801720449397,-0.0328062564631625,-0.03105908099284,-0.0296643941044118,-0.0282996561727327,-0.026689140408862,-0.0248981145180227,-0.0239149421609233,-0.0225014202886166,-0.0218283718936737,-0.0195497386489266,-0.0188843466554885,-0.0169410636324613,-0.0177766822898741,-0.0166083710600427,-0.0153886887777887,-0.0139821247285883,-0.0124011429132993,-0.0107525725176842,-0.00995311926597351,-0.00913181910068355,-0.00850281111396416,-0.00809065956295636,-0.00788950736546494,-0.00765453021804321,-0.00745448633717815,-0.00719604078296244
0.3,-0.0355600233602193,-0.0339271497572603,-0.0321146900496613,-0.0306683083104054,-0.0292528628653112,-0.0275829559205753,-0.0257269491420097,-0.024707225118586,-0.0232422262863604,-0.0225446842384323,-0.020182592020656,-0.0194921046596505,-0.0174753363006582,-0.0183661304311074,-0.0171539648078149,-0.0158880509959851,-0.0144285786393582,-0.0127905479192464,-0.0110909922450556,-0.0102702473792325,-0.00942604069486716,-0.0087740080497942,-0.00834559469110449,-0.0081331820113482,-0.00788739104264498,-0.00767775537167946,-0.00740809373405332
0.304,-0.0367721156963099,-0.0350783723275175,-0.0331985660072515,-0.0316988557539735,-0.0302311638318212,-0.0285000682357034,-0.026577227194459,-0.0255198547449607,-0.0240019431440783,-0.0232791757561315,-0.0208315511535773,-0.0201153352295869,-0.0180235963783624,-0.0189693312520678,-0.0177123703126367,-0.0163993442968161,-0.0148861602161444,-0.0131906370437519,-0.0114402734471101,-0.0105982702806683,-0.00973088953423767,-0.00905503768178346,-0.00860980538061843,-0.00838547983936463,-0.00812826105281319,-0.00790842417946634,-0.00762657064742539
0.308,-0.0380173391555864,-0.0362607486224035,-0.0343114642025581,-0.0327567374790244,-0.0312352106060122,-0.0294410716483821,-0.0274494877051858,-0.0263533354471361,-0.0247810334285444,-0.0240322863313709,-0.0214970024048303,-0.0207544075876975,-0.0185861825196549,-0.0195865775537702,-0.0182838601792065,-0.0169228244500175,-0.0153551135865314,-0.0136016507178774,-0.011800646737731,-0.0109373973892285,-0.0100465490118109,-0.00934607060280669,-0.0088834589769678,-0.00864656872695032,-0.0083773035513445,-0.00814665057204958,-0.00785161286566822
0.312,-0.0392966149919273,-0.0374751315663384,-0.0354541656668282,-0.0338426780734685,-0.0322656763160281,-0.0304065798282581,-0.0283442870046123,-0.0272081876005107,-0.0255799741184405,-0.0248044694129555,-0.0221793437246336,-0.0214097018887245,-0.0191634430591063,-0.0202181706326709,-0.0188687147533696,-0.0174587542445088,-0.0158356891767241,-0.0140238346653798,-0.0121723462021549,-0.0112878405229842,-0.0103732041564592,-0.00964727871908836,-0.00916672404541581,-0.00891661798429139,-0.00863468344021837,-0.00839259420923372,-0.00808336389319571
0.316,-0.0406108968051296,-0.0387224036339585,-0.0366274780769592,-0.0349574265271363,-0.0333232564586063,-0.0313972265009344,-0.0292621993197291,-0.0280849480893768,-0.0263992570826422,-0.0255961924581007,-0.02287898502407,-0.0220816095611804,-0.0197557363040336,-0.0208644205366523,-0.0194672223499295,-0.0180074036885026,-0.0163281438840431,-0.0144574400452765,-0.0125556095369612,-0.0116498140606662,-0.0107110418123627,-0.00995883540462901,-0.00945977050216075,-0.00919579845290622,-0.008900567296839,-0.00864641665804226,-0.00832196944152845
0.32,-0.0419611717893673,-0.040003477972274,-0.0378322367485569,-0.0361017571267831,-0.0344086697061981,-0.0324136661569427,-0.0302038173945574,-0.0289841708694259,-0.0272393895776653,-0.0264079373942385,-0.0235963485570913,-0.022770533661801,-0.0203634308377861,-0.0215256463303563,-0.0200796794887057,-0.0185690502168046,-0.0168327412557349,-0.0149027236004115,-0.012950678196528,-0.0120235351087478,-0.0110602508221252,-0.0102809156592795,-0.0097627697494676,-0.00948428260850444,-0.00917512345431951,-0.00890828145526167,-0.00856757747708039
0.324,-0.0433484620383153,-0.0413192995730171,-0.0390693056727176,-0.0372764703898772,-0.0355226587486386,-0.0334565747904372,-0.0311697531362388,-0.0299064275531539,-0.02810089476498,-0.0272402010990652,-0.0243318693173074,-0.0234768892435885,-0.0209869058344934,-0.0222021763703384,-0.0207063911391998,-0.0191439789056323,-0.0173497516743965,-0.0153599478121213,-0.0133577975458819,-0.0124092236739104,-0.011421022213495,-0.010613696270303,-0.0100758948146565,-0.00978224466814658,-0.00945852208588106,-0.0091783541735574,-0.00882033827153183
0.328,-0.04477382590983,-0.0426708464977242,-0.0403395785985755,-0.0384823940391123,-0.0366659911709322,-0.0345266506690754,-0.0321606382879565,-0.0308523080191806,-0.0289843122491502,-0.0280934958996772,-0.0250859954501956,-0.0242011037380224,-0.0216265513858144,-0.0228943485904116,-0.0213476709742081,-0.0197324826951942,-0.0178794525501741,-0.0158293810612787,-0.0137772170201049,-0.0128071028409802,-0.0117935493896855,-0.0109573559774178,-0.0103993204929265,-0.0100898607016593,-0.0097509352933123,-0.00945680249125287,-0.00908040445480962
0.332,-0.0462383594532162,-0.0440591311580848,-0.0416439801639703,-0.0397203840195169,-0.0378394603688932,-0.0356246151364508,-0.0331771251298371,-0.0318224210465531,-0.0298901986376679,-0.0289683500916521,-0.0258591886814065,-0.0249436173519795,-0.0222827688400633,-0.0236025107974893,-0.0220038416326821,-0.0203348626203539,-0.0184221285201257,-0.0163112977959115,-0.0142091902903869,-0.0132173989562696,-0.0121780283231638,-0.0113120756412156,-0.0107332234939089,-0.010407308747227,-0.0100525371995265,-0.00974379626579517,-0.00934793107079996
0.336,-0.0477431979021793,-0.0454852016544382,-0.0429834670764758,-0.0409913255602521,-0.0390438865044449,-0.036751213448664,-0.0342198872091467,-0.0328173949751827,-0.0308191281234698,-0.029865308478845,-0.0266519247618045,-0.0257048834800385,-0.0229559711543653,-0.0243270209785108,-0.0226752349922693,-0.0209514280497033,-0.0189780716548564,-0.0168059787055602,-0.0146539754367749,-0.0136403418163739,-0.0125746577529871,-0.0116780384149552,-0.0110777825919421,-0.0107347689312282,-0.0103635040452164,-0.0100395076109577,-0.00962307563580545
0.34,-0.0492895172369155,-0.0469501431752248,-0.0443590293473915,-0.042296134283323,-0.0402801175024287,-0.0379072156466074,-0.0352896201011706,-0.0338378783935346,-0.0317716930911086,-0.030784932934931,-0.0274646939299753,-0.0264853691328015,-0.0236465832602284,-0.0250682476187752,-0.0233621924518798,-0.021582496933351,-0.0195475816728423,-0.0173137109027366,-0.0151118351277924,-0.014076164862442,-0.0129836393856039,-0.0120554299196908,-0.011433178780008,-0.0110724235922502,-0.0106840142896267,-0.0103441109778317,-0.00990599819986261
0.344,-0.0508785358188196,-0.048455079460567,-0.0457716915812073,-0.0436357573613689,-0.0415490300909877,-0.0390934174656139,-0.0363870422021217,-0.0348845408549164,-0.0327485047476849,-0.0317278029875676,-0.0282980013929881,-0.0272855553818632,-0.0243550424432242,-0.0258265700321788,-0.0240650652246782,-0.0222283960597729,-0.0201309661626511,-0.017834788111588,-0.015583036807004,-0.0145251053799444,-0.0134051780992071,-0.0124444384226993,-0.0117995954273217,-0.0114204574092663,-0.0110142487154523,-0.0106577832396091,-0.0101968614109471
0.348,-0.0525115161016016,-0.0500011743331794,-0.0472225143234311,-0.0450111747271113,-0.042851530887596,-0.0403106412843048,-0.0375128955556274,-0.0359580736235546,-0.0337501937795992,-0.0326945164262094,-0.0291523678261611,-0.0281059378222195,-0.0250817987372818,-0.0266023787038707,-0.0247842146419318,-0.0228894613220731,-0.0207285408134212,-0.0183695108640975,-0.0160678528866834,-0.0149874047040407,-0.0138394821516713,-0.0128452550192937,-0.0121772184405946,-0.0117790575340429,-0.0113543905379211,-0.0109807037802921,-0.0104958305821679
0.352,-0.0541897664227779,-0.0515896333000663,-0.0487125954696258,-0.0464234003368388,-0.0441885575329437,-0.0415597371144424,-0.0386679467143341,-0.0370591904519271,-0.0347774110363573,-0.0336856899346434,-0.0300283298926471,-0.0289470270528071,-0.025827315334238,-0.0273960756458077,-0.025520012468152,-0.0235660379940888,-0.021340629653862,-0.018918186704067,-0.0165665609486857,-0.0154633084305559,-0.0142867633920588,-0.0132580738179725,-0.0125662364289018,-0.0121484137277091,-0.0117046255180333,-0.0113130545873092,-0.0108030737620502
0.356,-0.0559146428796994,-0.0532217052286913,-0.0502430717387573,-0.0478734834907581,-0.0455610798750259,-0.0428415836338169,-0.0398529876383055,-0.0381886283907333,-0.0358308282425592,-0.0347019597493203,-0.030926440783752,-0.0298093491759667,-0.026592069009282,-0.0282080747657177,-0.0262728412279738,-0.0242584810165888,-0.0219675653001746,-0.0194811303991526,-0.0170794439527347,-0.0159530666327216,-0.0147472374758993,-0.0136830921289654,-0.0129668408722666,-0.0125287185015847,-0.0120651420800338,-0.0116550203481129,-0.0111187618078909
0.36,-0.0576875512946613,-0.0548986841013866,-0.0518151202141601,-0.0493625102129646,-0.046970101205932,-0.044157089264169,-0.0410688366319269,-0.0393471486330716,-0.0369111387394677,-0.0357439823446772,-0.0318472707808307,-0.030693446316639,-0.0273765505630017,-0.0290388022501027,-0.0270430945452706,-0.0249671552941621,-0.0226096892131424,-0.0200586641612247,-0.017606790452242,-0.0164569340837403,-0.0152211240842026,-0.0141205106562777,-0.0133792262939355,-0.0129201672622411,-0.0124361314331774,-0.012006788550853,-0.0114430684623922
0.364,-0.0595099492736502,-0.0566219108521568,-0.0534299599555342,-0.050891604694056,-0.0484166595539026,-0.0455071932963842,-0.0423163393211624,-0.0405355373943577,-0.0380190582574348,-0.0368124351466474,-0.0327914078397907,-0.0315998771622001,-0.0281812652806584,-0.0298886969617729,-0.0278311774949597,-0.0256924360030341,-0.0232673519648821,-0.0206511178753709,-0.018148894817841,-0.0169751704852913,-0.0157086471464068,-0.0145705336932038,-0.0138035904363755,-0.0133229584608553,-0.0128177876977601,-0.012368549589162,-0.011776170433571
0.368,-0.0613833483638583,-0.0583927752901227,-0.0550888536856062,-0.052461930799569,-0.0499018290334082,-0.0468928670652355,-0.0435963696731155,-0.0417546068297415,-0.0391553257206468,-0.037908017275659,-0.0337594581991244,-0.0325292175237748,-0.0290067334095161,-0.0307582108525841,-0.0286375069681103,-0.0264347089103985,-0.0239409135154842,-0.0212588293378141,-0.0187060574688434,-0.0175080407021493,-0.0162100350673532,-0.0150333693215443,-0.0142401344411284,-0.0137372937469093,-0.0132103080355396,-0.0127404968711035,-0.0121182474780442
0.372,-0.0633093163151512,-0.0602127181141846,-0.0567931095553744,-0.0540746936475293,-0.0514267212561605,-0.0483151151761242,-0.0449098310598701,-0.0430051959907086,-0.0403207040856461,-0.0390314503204564,-0.0347520470125724,-0.0334820609199861,-0.029853490654969,-0.0316478093919859,-0.0294625120507954,-0.0271943707056378,-0.0246307435000934,-0.0218821445031367,-0.0192785851128028,-0.0180558150030377,-0.0167255209584355,-0.0155092296144466,-0.0146890630324928,-0.0141633781262856,-0.0136138927845859,-0.0131228269324189,-0.0124694824877968
0.376,-0.0652894794511002,-0.06208323302377,-0.0585440829919242,-0.0557311412587094,-0.0529924868061277,-0.0497749767863131,-0.0462576573687847,-0.0442881718228153,-0.0415159812152867,-0.0401834791441592,-0.0357698190075009,-0.0344590191841958,-0.0307220886962465,-0.0325579720120888,-0.0303066344173102,-0.027971829343953,-0.0253372215266816,-0.0225214177410464,-0.0198667909934137,-0.018618769307886,-0.017255342873101,-0.0159983308431439,-0.0151505847051925,-0.0146014201238254,-0.0140287455985986,-0.0135157395540849,-0.0128300615805319
0.38,-0.0673255251555187,-0.064005868930662,-0.060343178633227,-0.0574325662832969,-0.0546003167817338,-0.051273526943459,-0.0476408141615357,-0.0456044302064317,-0.0427419707896616,-0.0413648727240955,-0.036813439170153,-0.0354607230961635,-0.0316130957225805,-0.0334891925698587,-0.0311703287383811,-0.0287675044029071,-0.0260607374850764,-0.0231770121031422,-0.0204709951469574,-0.0191971854416719,-0.0177997440468177,-0.0165008936876302,-0.0156249119160909,-0.0150516319504201,-0.0144550735908107,-0.0139194378842998,-0.0132001741936485
0.384,-0.0694192044807913,-0.0659822322774783,-0.0621918523543648,-0.0591803078078982,-0.0562514444087357,-0.0528118779841738,-0.0490602998841803,-0.0469548970426297,-0.0439995132558474,-0.0425764250268799,-0.0378835934589599,-0.0364878230393199,-0.0325270969907635,-0.0344419798272815,-0.0320540631049326,-0.0295818274524097,-0.0268016918675927,-0.0238492995999325,-0.0210915246675769,-0.0197913513950668,-0.0183589731418228,-0.0170171434514226,-0.0161122612800751,-0.0155142296747162,-0.014893087482499,-0.0143341285649872,-0.0135800131820046
0.388,-0.071572334884617,-0.0680139894683705,-0.0640916133901325,-0.0609757532470789,-0.0579471467272924,-0.054391180995694,-0.0505171471308613,-0.0483405293863429,-0.0452894768182603,-0.043818955920499,-0.0389809895472676,-0.0375409896847357,-0.0334646954049291,-0.0354168579501959,-0.0329583194681232,-0.0304152424386973,-0.0275604961018176,-0.0245386614886195,-0.0217287139815917,-0.0204015615921057,-0.0189332844967026,-0.0175473102806121,-0.0166128537702004,-0.015989433399573,-0.0153430017562744,-0.0147600218628809,-0.0139697749195296
0.392,-0.0737868031022426,-0.0701028694181466,-0.0660440265590301,-0.0628203403238305,-0.0596887463571474,-0.0560126273438258,-0.052012423963726,-0.0497623166291266,-0.0466127584715356,-0.0450933121250358,-0.040106357596708,-0.0386209147030242,-0.0344265121196608,-0.0364143670266209,-0.0338835940962811,-0.0312682060828653,-0.0283375728959631,-0.0252454885718925,-0.0223829051311778,-0.0210281171650538,-0.0195229383811756,-0.0180916293873233,-0.0171269149222782,-0.0164774674432944,-0.0158050348141503,-0.0151973318053506,-0.0143696594048106
