"Theta [deg]","dB(GainTotal) [] - Freq='2GHz' Phi='0deg'"
0,-51.7933339818777
2,-34.849177947403
4,-28.8091855501177
6,-25.348428888788
8,-22.9636121697093
10,-21.1838595768227
12,-19.8003297915974
14,-18.7020327264279
16,-17.822662798828
18,-17.1187944305776
20,-16.5592379671623
22,-16.1188943575407
24,-15.7744651745875
26,-15.5008493822097
28,-15.2678371555273
30,-15.0374836821684
32,-14.7635792396708
34,-14.3955378459861
36,-13.8882693414218
38,-13.215544038675
40,-12.3792317772072
42,-11.4074921826292
44,-10.3432460559381
46,-9.23094414998522
48,-8.10804818681756
50,-7.00221191944888
52,-5.93203022173786
54,-4.90910873415325
56,-3.94017492196841
58,-3.02876161828032
60,-2.17640606096353
62,-1.38345256905119
64,-0.649569841423879
66,0.0259245514455255
68,0.643865446193705
70,1.2051216879268
72,1.71052827131071
74,2.16084985268252
76,2.55676341437005
78,2.89885233381644
80,3.18760696123343
82,3.42342861864695
84,3.60663507702939
86,3.73746628843666
88,3.81608960123129
90,3.84260396790724
92,3.81704283148981
94,3.73937549136042
96,3.60950683328804
98,3.42727538520255
100,3.19244975119492
102,2.90472360441594
104,2.56370961418628
106,2.16893298508009
108,1.71982575823358
110,1.21572376428308
112,0.655869275388401
114,0.039424221732632
116,-0.634498304210383
118,-1.36677204338813
120,-2.15814584223362
122,-3.00905218220457
124,-3.91928982200181
126,-4.88751175954764
128,-5.9104219560368
130,-6.98156160414312
132,-8.08958165675815
134,-9.21603568531533
136,-10.3331405899563
138,-11.4028007002285
140,-12.3792660314613
142,-13.2178120175548
144,-13.8886317851957
146,-14.3892242038582
148,-14.7465464791738
150,-15.0072994589181
152,-15.223762915405
154,-15.4434002338666
156,-15.7048531786461
158,-16.0385758482267
160,-16.4696012873894
162,-17.0209410303329
164,-17.7172144733743
166,-18.588889926534
168,-19.6782728321965
170,-21.0497723180662
172,-22.8107487933606
174,-25.1618191044438
176,-28.5497254608139
178,-34.3616610172148
180,-52.006119814916
182,-34.7781254283385
184,-28.7689463761841
186,-25.317147511705
188,-22.9360213628072
190,-21.1581333297359
192,-19.7757910233645
194,-18.6784863029666
196,-17.8001420790393
198,-17.0974494835879
200,-16.5392851855209
202,-16.1006005557979
204,-15.7581575862263
206,-15.4869491462087
208,-15.2569119168246
210,-15.0303022338013
212,-14.7611258937896
214,-14.3989209263724
216,-13.8984828476743
218,-13.2331523015145
220,-12.4041638028055
222,-11.4390852037345
224,-10.3804818901125
226,-9.27270781012666
228,-8.15329561974038
230,-7.05003707086765
232,-5.98167009192547
234,-4.95992377357308
236,-3.9916260049396
238,-3.08039200047982
240,-2.22782999912983
242,-1.43434960394187
244,-0.699683026445699
246,-0.0232118513892098
248,0.595833369289143
250,1.158254944422
252,1.66482123669767
254,2.11623181071273
256,2.51310210079611
258,2.85595965320181
260,3.14524686410816
262,3.38132696074231
264,3.56449113687746
266,3.69496549855951
268,3.77291695558638
270,3.79845750743733
272,3.77164658253668
274,3.69249123899701
276,3.56094415272279
278,3.37689942770632
280,3.14018638413945
282,2.85056163522978
284,2.5076999826052
286,2.11118498495908
288,1.66050054906753
290,1.1550256564198
292,0.594035530437172
294,-0.0232855809528268
296,-0.697811890012545
298,-1.430411075908
300,-2.22182683591527
302,-3.07247787838141
304,-3.98212569134836
306,-4.9493403422447
308,-5.97066582238659
310,-7.03936553554346
312,-8.14365088112213
314,-9.26444957533461
316,-10.3732145924693
318,-11.4311557821241
320,-12.3923247436031
322,-13.2128072833393
324,-13.8647723895515
326,-14.3482530948421
328,-14.6922215816798
330,-14.94418578143
332,-15.1561298435282
334,-15.37465200845
336,-15.6374310320455
338,-15.9740963751815
340,-16.4090507910109
342,-16.9648414778934
344,-17.6657366340005
346,-18.5419121061719
348,-19.6353835188894
350,-21.0101967900702
352,-22.7731246961138
354,-25.1235523818307
356,-28.50471329875
358,-34.2870427327247
360,-51.7933339818772
