"Frequency";"S11-S-Real";"S11-S-Imaginary";"S12-S-Real";"S12-S-Imaginary";"S21-S-Real";"S21-S-Imaginary";"S22-S-Real";"S22-S-Imaginary"
"827950000";"0.6372176695596492";"-0.24774553821698986";"0";"0";"0";"0";"0";"0"
"847900000";"-0.007475961362669199";"-0.6320741439210782";"0";"0";"0";"0";"0";"0"
"867850000";"-0.5060264875847206";"-0.09686895565198037";"0";"0";"0";"0";"0";"0"
"887800000";"-0.39135793595134377";"0.4636064299039032";"0";"0";"0";"0";"0";"0"
"907750000";"0.29412945237849997";"0.4788045406944631";"0";"0";"0";"0";"0";"0"
"927700000";"0.5654426345313976";"-0.1301372413148539";"0";"0";"0";"0";"0";"0"
"947650000";"0.021961405685260012";"-0.3426626351111202";"0";"0";"0";"0";"0";"0"
"967600000";"-0.3472112140822327";"-0.0467551494535324";"0";"0";"0";"0";"0";"0"
"987550000";"-0.11775963521105866";"0.33264523472014856";"0";"0";"0";"0";"0";"0"
"1007500000";"0.29856161148339533";"0.289038714947356";"0";"0";"0";"0";"0";"0"
"1027450000";"0.23754353301618913";"-0.011216996118934583";"0";"0";"0";"0";"0";"0"
"1047400000";"0.02150914499199877";"-0.06082079272459684";"0";"0";"0";"0";"0";"0"
"1067350000";"0.0054244142606713905";"-0.005646403358937882";"0";"0";"0";"0";"0";"0"
"1087300000";"-0.06878753882913673";"0.011250017094843776";"0";"0";"0";"0";"0";"0"
"1107250000";"-0.12387587493284581";"0.1751477175674562";"0";"0";"0";"0";"0";"0"
"1127200000";"0.11312072414240332";"0.3095147160732776";"0";"0";"0";"0";"0";"0"
"1147150000";"0.3317145159224967";"0.12501181519663243";"0";"0";"0";"0";"0";"0"
"1167100000";"0.1332785133059036";"-0.17401163867974034";"0";"0";"0";"0";"0";"0"
"1187050000";"-0.1606749749562858";"-0.15257635553031051";"0";"0";"0";"0";"0";"0"
"1.207e+09";"-0.2787669245224204";"0.22690739838286741";"0";"0";"0";"0";"0";"0"
"1226950000";"-0.011226370090005162";"0.45230280042295806";"0";"0";"0";"0";"0";"0"
"1246900000";"0.29591726264359697";"0.16873184714778555";"0";"0";"0";"0";"0";"0"
"1266850000";"0.22427618180134432";"-0.16209149739140713";"0";"0";"0";"0";"0";"0"
"1286800000";"-0.10222424140447836";"-0.14494661929386224";"0";"0";"0";"0";"0";"0"
"1306750000";"-0.27302927406521854";"0.11195092146561991";"0";"0";"0";"0";"0";"0"
"1326700000";"-0.03228241565680424";"0.32671383457215747";"0";"0";"0";"0";"0";"0"
"1346650000";"0.32199188782115673";"0.24072666879449142";"0";"0";"0";"0";"0";"0"
"1366600000";"0.276065350231124";"-0.08269959569507075";"0";"0";"0";"0";"0";"0"
"1386550000";"-0.06195253205684439";"-0.24999857422591418";"0";"0";"0";"0";"0";"0"
"1406500000";"-0.2666682507816977";"0.034175810454680676";"0";"0";"0";"0";"0";"0"
"1426450000";"-0.18079729815220105";"0.40160239951670784";"0";"0";"0";"0";"0";"0"
"1446400000";"0.12227093112689509";"0.378203001542337";"0";"0";"0";"0";"0";"0"
"1466350000";"0.33714580479780465";"0.018715407695876207";"0";"0";"0";"0";"0";"0"
"1486300000";"0.09525913626034185";"-0.20218388138516374";"0";"0";"0";"0";"0";"0"
"1506250000";"-0.2500398561081389";"-0.11002102000625169";"0";"0";"0";"0";"0";"0"
"1526200000";"-0.19964034625253949";"0.30101552967319856";"0";"0";"0";"0";"0";"0"
"1546150000";"0.20192962037902357";"0.46470570666844696";"0";"0";"0";"0";"0";"0"
"1566100000";"0.3297127304940406";"0.10353109411310649";"0";"0";"0";"0";"0";"0"
"1586050000";"0.15692460137367648";"-0.21608660677766361";"0";"0";"0";"0";"0";"0"
"1.606e+09";"-0.16148160560560412";"-0.1397119698238953";"0";"0";"0";"0";"0";"0"
"1625950000";"-0.30416771156906325";"0.15515070548539112";"0";"0";"0";"0";"0";"0"
"1645900000";"-0.07102743947709372";"0.32256061629882016";"0";"0";"0";"0";"0";"0"
"1665850000";"0.23682685362509312";"0.1670836325815306";"0";"0";"0";"0";"0";"0"
"1685800000";"0.22770700617268483";"-0.07041017140724558";"0";"0";"0";"0";"0";"0"
"1705750000";"-0.04041462362208689";"-0.15170429829533816";"0";"0";"0";"0";"0";"0"
"1725700000";"-0.2630882124938458";"-0.014153382896733815";"0";"0";"0";"0";"0";"0"
"1745650000";"-0.15289395428952304";"0.29717837151911686";"0";"0";"0";"0";"0";"0"
"1765600000";"0.2722135401741906";"0.40766138196473484";"0";"0";"0";"0";"0";"0"
"1785550000";"0.3989997247123436";"0.04379253875324723";"0";"0";"0";"0";"0";"0"
"1805500000";"0.10489412547472557";"-0.3397298233660197";"0";"0";"0";"0";"0";"0"
"1825450000";"-0.2927267608713254";"-0.21441316797828697";"0";"0";"0";"0";"0";"0"
"1845400000";"-0.41757672323699846";"0.40572653746855525";"0";"0";"0";"0";"0";"0"
"1865350000";"0.09225768652752123";"0.617874501121494";"0";"0";"0";"0";"0";"0"
"1885300000";"0.45412486054137347";"0.08907831718036092";"0";"0";"0";"0";"0";"0"
"1905250000";"0.259420534941645";"-0.3272110138422936";"0";"0";"0";"0";"0";"0"
"1925200000";"-0.2566219293494464";"-0.23952082704730956";"0";"0";"0";"0";"0";"0"
"1945150000";"-0.45798007352458453";"0.23821554008292878";"0";"0";"0";"0";"0";"0"
"1965100000";"0.09371933668822977";"0.5140545402071185";"0";"0";"0";"0";"0";"0"
"1985050000";"0.5396030876873016";"0.12658895611415424";"0";"0";"0";"0";"0";"0"
"2.005e+09";"0.25063963015321894";"-0.29012854566864815";"0";"0";"0";"0";"0";"0"
"2024950000";"-0.28898376736742004";"-0.34070775252036883";"0";"0";"0";"0";"0";"0"
"2044900000";"-0.48616450070597456";"0.25023559228874587";"0";"0";"0";"0";"0";"0"
"2064850000";"0.14186997572568827";"0.8041012428427041";"0";"0";"0";"0";"0";"0"
"2084800000";"0.5701684233378461";"0.29975664160584603";"0";"0";"0";"0";"0";"0"
"2104750000";"0.3665865144237188";"-0.34980642997921313";"0";"0";"0";"0";"0";"0"
"2124700000";"-0.13060604523423763";"-0.38236272102038094";"0";"0";"0";"0";"0";"0"
"2144650000";"-0.552675654874633";"0.08591580691964089";"0";"0";"0";"0";"0";"0"
"2164600000";"-0.165164655961424";"0.5779546719660894";"0";"0";"0";"0";"0";"0"
"2184550000";"0.5217125279710941";"0.33864675178305875";"0";"0";"0";"0";"0";"0"
"2204500000";"0.4752252028976162";"-0.19173966074091645";"0";"0";"0";"0";"0";"0"
"2224450000";"-0.05731466390377594";"-0.4234595897258323";"0";"0";"0";"0";"0";"0"
"2244400000";"-0.4845523072302355";"-0.09045878727936832";"0";"0";"0";"0";"0";"0"
"2264350000";"-0.3473195430329591";"0.696948434000746";"0";"0";"0";"0";"0";"0"
"2284300000";"0.3737267508091184";"0.5819705094887229";"0";"0";"0";"0";"0";"0"
"2304250000";"0.5217769267782845";"-0.11752295941477882";"0";"0";"0";"0";"0";"0"
"2324200000";"0.11001420556517891";"-0.38744568440456106";"0";"0";"0";"0";"0";"0"
"2344150000";"-0.4591550363343432";"-0.174500682881768";"0";"0";"0";"0";"0";"0"
"2364100000";"-0.37797095411848664";"0.44092459376401055";"0";"0";"0";"0";"0";"0"
"2384050000";"0.3535255685815762";"0.5525671927467688";"0";"0";"0";"0";"0";"0"
"2.404e+09";"0.5527540835234116";"0.025967237615618834";"0";"0";"0";"0";"0";"0"
"2423950000";"0.16962437487854568";"-0.3780473200321386";"0";"0";"0";"0";"0";"0"
"2443900000";"-0.35424030113293287";"-0.33828920128523404";"0";"0";"0";"0";"0";"0"
"2463850000";"-0.6138222693253436";"0.42853519634895804";"0";"0";"0";"0";"0";"0"
"2483800000";"0.06329036489500513";"0.8231289949263602";"0";"0";"0";"0";"0";"0"
"2503750000";"0.5215265887605923";"0.13850468524611922";"0";"0";"0";"0";"0";"0"
"2523700000";"0.2963595420135021";"-0.28583527934311254";"0";"0";"0";"0";"0";"0"
"2543650000";"-0.31762904528804786";"-0.3274459783578454";"0";"0";"0";"0";"0";"0"
"2563600000";"-0.5922304962779664";"0.19471839804087185";"0";"0";"0";"0";"0";"0"
"2583550000";"0.1260422053736151";"0.8019794084798564";"0";"0";"0";"0";"0";"0"
"2603500000";"0.5335981814807688";"0.3270836498930308";"0";"0";"0";"0";"0";"0"
"2623450000";"0.31439365973363964";"-0.265861215114362";"0";"0";"0";"0";"0";"0"
"2643400000";"-0.07440035056239933";"-0.383169606163059";"0";"0";"0";"0";"0";"0"
"2663350000";"-0.590613552642523";"-0.0648758909793759";"0";"0";"0";"0";"0";"0"
"2683300000";"-0.37666694725136457";"0.5277781186184946";"0";"0";"0";"0";"0";"0"
"2703250000";"0.49585889210373446";"-0.020796498778554058";"0";"0";"0";"0";"0";"0"
"2723200000";"0.18345674293966968";"-0.3474626796924728";"0";"0";"0";"0";"0";"0"
"2743150000";"-0.09892896442138455";"-0.3285248753720912";"0";"0";"0";"0";"0";"0"
"2763100000";"-0.24810428361312117";"0.016106504310763957";"0";"0";"0";"0";"0";"0"
"2783050000";"0.06834385946151862";"0.378773829598399";"0";"0";"0";"0";"0";"0"
"2.803e+09";"0.46548100036089585";"0.10255211381243279";"0";"0";"0";"0";"0";"0"
"2822950000";"0.35055792124988155";"-0.33999035256659116";"0";"0";"0";"0";"0";"0"
"2842900000";"-0.024966609433026785";"-0.3317885434646453";"0";"0";"0";"0";"0";"0"
"2862850000";"-0.22176984897008598";"-0.01917750543221231";"0";"0";"0";"0";"0";"0"
"2882800000";"0.03664424970925094";"0.3173898625285164";"0";"0";"0";"0";"0";"0"
"2902750000";"0.4717780155659848";"0.028102213080136787";"0";"0";"0";"0";"0";"0"
"2922700000";"0.3556264351421276";"-0.3012380678701781";"0";"0";"0";"0";"0";"0"
"2942650000";"0.02658830794163169";"-0.3686238134735084";"0";"0";"0";"0";"0";"0"
"2962600000";"-0.19822188711155359";"-0.13091394338047785";"0";"0";"0";"0";"0";"0"
"2982550000";"-0.033544864276339084";"0.2767032351673481";"0";"0";"0";"0";"0";"0"
"3002500000";"0.532711312925996";"0.08571603514034479";"0";"0";"0";"0";"0";"0"
"3022450000";"0.3765680629085946";"-0.36505352509603484";"0";"0";"0";"0";"0";"0"
"3042400000";"0.01915708053826";"-0.4484735814744983";"0";"0";"0";"0";"0";"0"
"3062350000";"-0.11603338310407933";"-0.1676646661045284";"0";"0";"0";"0";"0";"0"
"3082300000";"0.021148673313201343";"0.2225552756660352";"0";"0";"0";"0";"0";"0"
"3102250000";"0.4837790630070076";"0.19686480986899646";"0";"0";"0";"0";"0";"0"
"3122200000";"0.5796317868907167";"-0.26571828211050846";"0";"0";"0";"0";"0";"0"
"3142150000";"0.17558261583333135";"-0.38475647351576703";"0";"0";"0";"0";"0";"0"
"3162100000";"-0.07300332458227957";"-0.14265229379367947";"0";"0";"0";"0";"0";"0"
"3182050000";"0.09657444326642033";"0.24802032012788414";"0";"0";"0";"0";"0";"0"
"3.202e+09";"0.49977572013223703";"0.40586137330841204";"0";"0";"0";"0";"0";"0"
"3221950000";"0.5753613900997566";"-0.08297607540587336";"0";"0";"0";"0";"0";"0"
"3241900000";"0.2923313039852325";"-0.41667176955367363";"0";"0";"0";"0";"0";"0"
"3261850000";"0.09740738997849371";"-0.1546730152650553";"0";"0";"0";"0";"0";"0"
"3281800000";"0.01588774250156655";"0.21556759706586354";"0";"0";"0";"0";"0";"0"
"3301750000";"0.3601125999627325";"0.2577023732213189";"0";"0";"0";"0";"0";"0"
"3321700000";"0.7298116632244415";"-0.004492958631713274";"0";"0";"0";"0";"0";"0"
"3341650000";"0.44360095608084016";"-0.17218582204291236";"0";"0";"0";"0";"0";"0"
"3361600000";"0.066318716086421";"-0.06265058061565132";"0";"0";"0";"0";"0";"0"
"3381550000";"0.13402077746654137";"0.22105662072060464";"0";"0";"0";"0";"0";"0"
"3401500000";"0.4908561417389236";"0.5498856400746035";"0";"0";"0";"0";"0";"0"
"3421450000";"0.5352230419470222";"0.3214017273886791";"0";"0";"0";"0";"0";"0"
"3441400000";"0.31988214884739585";"-0.02421020981359287";"0";"0";"0";"0";"0";"0"
"3461350000";"0.15612069519550859";"0.03336954910182871";"0";"0";"0";"0";"0";"0"
"3481300000";"0.12261450398656851";"0.2998192934238171";"0";"0";"0";"0";"0";"0"
"3501250000";"0.2060171299991148";"0.28839766425697294";"0";"0";"0";"0";"0";"0"
"3521200000";"0.41068996700109606";"0.07623832899101894";"0";"0";"0";"0";"0";"0"
"3541150000";"0.284049266495473";"0.06865423054295637";"0";"0";"0";"0";"0";"0"
"3561100000";"0.12334912306645228";"0.24212509714705935";"0";"0";"0";"0";"0";"0"
"3581050000";"0.21520871567203093";"0.3901481835874397";"0";"0";"0";"0";"0";"0"
"3.601e+09";"0.45096427361642594";"0.2782224045496696";"0";"0";"0";"0";"0";"0"
"3620950000";"0.2757098756298585";"0.37458394167664766";"0";"0";"0";"0";"0";"0"
"3640900000";"-0.031673727546718586";"0.20779146786614142";"0";"0";"0";"0";"0";"0"
"3660850000";"0.018130377412295555";"0.2512990436147251";"0";"0";"0";"0";"0";"0"
"3680800000";"0.2509229181145326";"0.3566321389118774";"0";"0";"0";"0";"0";"0"
"3700750000";"0.3015782459120846";"0.35135088360020295";"0";"0";"0";"0";"0";"0"
"3720700000";"0.04167688669319825";"-0.032239416129370126";"0";"0";"0";"0";"0";"0"
"3740650000";"0.15912916315237075";"0.09160868798605684";"0";"0";"0";"0";"0";"0"
"3760600000";"0.5523951497706303";"0.7461164445292887";"0";"0";"0";"0";"0";"0"
"3780550000";"1.4353065302361392";"1.8729134623358836";"0";"0";"0";"0";"0";"0"
"3800500000";"0.1635511005463535";"0.12678355037973552";"0";"0";"0";"0";"0";"0"
"3820450000";"0.10429244431258611";"0.08270903633966438";"0";"0";"0";"0";"0";"0"
"3840400000";"-0.16790871175819125";"0.006164049359834516";"0";"0";"0";"0";"0";"0"
"3860350000";"-0.17254257528886488";"0.015428023603951508";"0";"0";"0";"0";"0";"0"
"3880300000";"0.1743215283054218";"0.07546086649154309";"0";"0";"0";"0";"0";"0"
"3900250000";"0.2807906109274807";"0.21029332918931498";"0";"0";"0";"0";"0";"0"
"3920200000";"-0.05752871439348371";"-0.3358645466154533";"0";"0";"0";"0";"0";"0"
"3940150000";"0.06719507561938519";"-0.2987285234708583";"0";"0";"0";"0";"0";"0"
"3960100000";"0.0481387628531296";"0.28308495915278503";"0";"0";"0";"0";"0";"0"
"3980050000";"-1.0911854743672196";"0.6598659464111158";"0";"0";"0";"0";"0";"0"
"4e+09";"0.15888819585445338";"0.050503740657041";"0";"0";"0";"0";"0";"0"
